"index,Date,Value,Sentiment,BTC_Closing,BTC_Volume,Sentiment_Group"
"1197,2021-05-13,31.0,Fear,49716.19140625,96721152926,Fear"
"1198,2021-05-14,26.0,Fear,49880.53515625,55737497453,Fear"
"1199,2021-05-15,27.0,Fear,46760.1875,59161047474,Fear"
"1200,2021-05-16,20.0,Extreme Fear,46456.05859375,64047871555,Fear"
"1201,2021-05-17,27.0,Fear,43537.51171875,74903638450,Fear"
"1202,2021-05-18,21.0,Extreme Fear,42909.40234375,56187365084,Fear"
"1203,2021-05-19,23.0,Extreme Fear,37002.44140625,126358098747,Fear"
"1204,2021-05-20,11.0,Extreme Fear,40782.73828125,88281943359,Fear"
"1205,2021-05-21,19.0,Extreme Fear,37304.69140625,82051616861,Fear"
"1206,2021-05-22,12.0,Extreme Fear,37536.6328125,57377273240,Fear"
"1207,2021-05-23,14.0,Extreme Fear,34770.58203125,78469274361,Fear"
"1208,2021-05-24,10.0,Extreme Fear,38705.98046875,67359584098,Fear"
"1209,2021-05-25,22.0,Extreme Fear,38402.22265625,56211915803,Fear"
"1210,2021-05-26,22.0,Extreme Fear,39294.19921875,51346735160,Fear"
"1211,2021-05-27,27.0,Fear,38436.96875,43210968721,Fear"
"1212,2021-05-28,21.0,Extreme Fear,35697.60546875,55200191952,Fear"
"1213,2021-05-29,18.0,Extreme Fear,34616.06640625,45231013335,Fear"
"1214,2021-05-30,10.0,Extreme Fear,35678.12890625,31646080921,Fear"
"1215,2021-05-31,18.0,Extreme Fear,37332.85546875,39009847639,Fear"
"1216,2021-06-01,20.0,Extreme Fear,36684.92578125,34639423297,Fear"
"1217,2021-06-02,23.0,Extreme Fear,37575.1796875,33070867190,Fear"
"1218,2021-06-03,24.0,Extreme Fear,39208.765625,35460750427,Fear"
"1219,2021-06-04,27.0,Fear,36894.40625,41831090187,Fear"
"1220,2021-06-05,24.0,Extreme Fear,35551.95703125,35959473399,Fear"
"1221,2021-06-06,17.0,Extreme Fear,35862.37890625,28913440585,Fear"
"1222,2021-06-07,15.0,Extreme Fear,33560.70703125,33683936663,Fear"
"1223,2021-06-08,13.0,Extreme Fear,33472.6328125,49902050442,Fear"
"1224,2021-06-09,14.0,Extreme Fear,37345.12109375,53972919008,Fear"
"1225,2021-06-10,21.0,Extreme Fear,36702.59765625,43576032854,Fear"
"1226,2021-06-11,21.0,Extreme Fear,37334.3984375,38699736985,Fear"
"1227,2021-06-12,28.0,Fear,35552.515625,37924228550,Fear"
"1228,2021-06-13,23.0,Extreme Fear,39097.859375,40669112838,Fear"
"1229,2021-06-14,28.0,Fear,40218.4765625,43148914673,Fear"
"1230,2021-06-15,38.0,Fear,40406.26953125,46420149185,Fear"
"1231,2021-06-16,33.0,Fear,38347.0625,39211635100,Fear"
"1232,2021-06-17,26.0,Fear,38053.50390625,37096670047,Fear"
"1233,2021-06-18,25.0,Extreme Fear,35787.24609375,36200887275,Fear"
"1234,2021-06-19,23.0,Extreme Fear,35615.87109375,31207279719,Fear"
"1235,2021-06-20,21.0,Extreme Fear,35698.296875,36664034054,Fear"
"1236,2021-06-21,23.0,Extreme Fear,31676.693359375,52809038594,Fear"
"1237,2021-06-22,10.0,Extreme Fear,32505.66015625,58964353058,Fear"
"1238,2021-06-23,14.0,Extreme Fear,33723.02734375,46317108925,Fear"
"1239,2021-06-24,22.0,Extreme Fear,34662.4375,33123368116,Fear"
"1240,2021-06-25,27.0,Fear,31637.779296875,40230904226,Fear"
"1241,2021-06-26,20.0,Extreme Fear,32186.27734375,38585385521,Fear"
"1242,2021-06-27,22.0,Extreme Fear,34649.64453125,35511640894,Fear"
"1243,2021-06-28,25.0,Extreme Fear,34434.3359375,33892523752,Fear"
"1244,2021-06-29,25.0,Extreme Fear,35867.77734375,37901460044,Fear"
"1245,2021-06-30,28.0,Fear,35040.8359375,34059036099,Fear"
"1246,2021-07-01,28.0,Fear,33572.1171875,37838957079,Fear"
"1247,2021-07-02,21.0,Extreme Fear,33897.046875,38728974942,Fear"
"1248,2021-07-03,24.0,Extreme Fear,34668.546875,24383958643,Fear"
"1249,2021-07-04,27.0,Fear,35287.78125,24924307911,Fear"
"1250,2021-07-05,29.0,Fear,33746.00390625,26721554282,Fear"
"1251,2021-07-06,20.0,Extreme Fear,34235.1953125,26501259870,Fear"
"1252,2021-07-07,28.0,Fear,33855.328125,24796027477,Fear"
"1253,2021-07-08,20.0,Extreme Fear,32877.37109375,29910396946,Fear"
"1254,2021-07-09,20.0,Extreme Fear,33798.01171875,27436021028,Fear"
